Gene	H911	DIVID1	DIVID2	DIVID3	DIVID4	DIVID5	H1204	H1778	H1499	H1530
WDTC1	9.37776	8.53689	13.9893	3.74407	11.7692	5.61558	7.93153	4.95639	6.39225	5.55778
TMEM222	8.7813	9.67921	7.95785	3.9769	13.4864	6.46778	14.506	13.07	20.1882	14.9114
SYTL1	4.70259	12.9788	33.6888	30.0954	14.1639	26.4525	37.6839	1.8256	7.41637	0.457267
FCN3	1.13847	1.39696	0	0	1.27761	2.00658	3.08427	0.761472	3.40813	4.88276
WASF2	11.6266	11.4098	15.1697	17.7778	12.0729	4.46933	12.4315	10.5756	13.0788	14.498
AHDC1	4.08627	2.47184	2.83433	3.18969	3.21619	2.15494	5.74559	5.60729	6.66896	3.34506
IFI6	14.0718	30.8704	90.3716	10.4578	88.0064	49.2617	182.723	30.9485	23.4273	43.0619
FAM76A	4.92254	6.31171	8.41997	1.53343	8.8055	8.64221	7.37565	2.89993	7.6827	1.92479
STX12	15.6096	24.443	35.1979	23.5993	16.6356	25.5351	41.0604	11.7259	19.1495	12.2403
PPP1R8	8.49019	12.0795	8.1174	3.47671	14.9585	10.1949	14.1953	11.4934	9.84904	12.2233
SCARNA1	1544.8	6002.49	1201.1	1376.88	11324.4	2426.41	2163.21	3285.14	1905.95	1977.57
RPA2	10.8529	26.0285	20.3521	39.4872	30.4988	20.6062	16.7499	12.7325	8.51822	12.6626
SMPDL3B	6.14825	20.3511	29.6752	18.2605	9.5992	46.192	8.6341	1.79452	4.04346	6.08171
EYA3	9.9484	15.1235	24.5695	1.59414	15.8204	10.828	9.13748	5.80044	8.4894	14.7112
DNAJC8	9.03379	7.79466	8.21304	2.52912	11.099	5.86503	12.3787	12.3323	14.1686	13.6934
ATPIF1	7.09251	11.3429	26.3067	14.8666	16.1905	18.4742	15.3017	12.8804	8.19677	10.2706
SESN2	7.23679	12.2837	23.3543	4.43941	12.2503	5.13668	10.6518	14.1284	16.1848	11.9123
MED18	4.94909	3.90391	3.37153	1.53343	9.81007	2.12607	7.19933	4.35219	6.65895	1.6911
PHACTR4	5.63156	4.66335	4.10474	7.00004	1.08603	2.21161	5.49222	1.87027	4.10536	0.476863
SNHG3	2.63304	2.52467	2.75557	1.51801	1.03213	3.14276	6.69804	1.31156	7.38337	0.322264
RCC1	9.13248	2.31126	3.28103	13.7448	1.32527	4.16878	4.78617	11.0005	7.35695	19.1972
SNHG12	2.75525	7.43273	17.8794	1.83143	0	4.18677	8.96401	3.12871	2.83741	0.203956
SNORD99	8527.02	7741.44	1867.25	1938.18	5052.16	4424.23	2053.75	23053.1	3790.1	4054.85
SNORA61	3502.36	4127.57	1281.96	600.275	4137.5	3944.65	2378.53	6970.84	1724.12	2416.6
SNORA44	6168.38	10980.9	2100.62	1159.49	24424.6	7724.45	2632.43	12759.3	3360.4	3693.69
SNORA16A	3648.07	3907.37	3112.52	3004.54	12567.1	2970.23	2939.4	6532.03	2886.88	4481.2
TAF12	8.64521	8.14139	9.08631	1.83143	9.92442	9.16399	18.2768	4.55873	6.78903	11.1499
RNU11	41.932	129.487	371.79	46.1208	730.466	1006.38	61.4314	1154.58	96.0841	160.887
GMEB1	5.58605	4.42807	4.72416	25.162	1.04305	3.26817	3.46452	2.2768	7.43945	0.471057
YTHDF2	9.08766	5.83809	7.23715	3.1646	3.76929	5.36438	4.23951	2.30538	6.62559	8.5233
EPB41	6.18735	6.17338	5.28569	8.21262	1.21905	4.41735	6.02421	3.49901	4.34523	4.83081
SRSF4	10.3593	7.43273	2.3361	2.07007	1.31581	5.91471	7.63143	2.2294	4.17097	0.491381
MECR	2.67053	1.56679	3.34143	10.3167	10.0383	3.81896	1.62648	1.21113	2.4942	0.248231
PTPRU	3.03182	2.74323	4.50261	9.57463	1.03213	2.697	3.49128	2.72709	6.3623	0.519688
LAPTM5	11.2205	10.7356	25.4919	13.4676	4.16192	6.69858	15.6858	14.2796	6.8457	10.3745
SDC3	5.21681	2.76378	3.68374	8.9198	1.29679	2.45177	3.13012	2.20581	3.53664	6.12426
PUM1	15.1438	22.27	31.1863	17.3421	11.4267	14.5498	12.8719	20.3374	9.35862	15.1983
SNORD85	1583.22	7185.19	342.197	57.5458	9012.88	4128.12	957.585	4675.66	321.782	96.337
SNRNP40	15.0016	10.9816	16.1232	14.8924	12.9693	6.59612	7.42294	12.7819	21.3795	18.563
ZCCHC17	7.91296	11.0238	19.0371	15.2276	12.3387	14.839	9.96865	6.54506	9.60501	10.4726
SERINC2	20.3131	1.39696	3.12882	5.66939	1.16897	2.0371	5.11678	12.8311	8.04138	33.4404
TINAGL1	25.7173	4.33592	9.02299	2.5969	2.62286	3.5498	8.24853	22.6336	12.322	16.0657
PEF1	20.625	11.4848	27.6708	3.91437	18.1522	16.8689	14.6788	21.2984	8.41248	22.8996
PTP4A2	22.57	30.155	29.2741	20.1615	22.4874	44.8175	17.4958	17.1694	22.0903	16.5757
KHDRBS1	66.1977	32.93	52.8013	24.8862	13.4864	19.9722	34.2019	31.1747	23.8632	41.9665
TMEM39B	5.6719	1.9341	3.59522	1.95884	2.04634	3.89396	3.92179	4.38769	3.27723	0.765227
KPNA6	11.9059	10.6845	9.59475	16.2862	9.48348	8.01673	14.1518	12.3323	19.3418	16.4049
TXLNA	16.6121	13.1866	12.9381	11.322	8.22039	6.90304	17.1898	28.3239	24.1781	30.8189
CCDC28B	6.13357	3.2449	2.36902	0	8.31819	16.3795	5.27232	15.826	6.64227	12.4545
C1orf91	6.43121	1.7607	1.49433	1.5791	14.381	2.83601	4.62593	1.54348	3.73616	5.59993
EIF3I	50.6208	27.7644	57.9238	54.4676	18.5355	42.0841	61.887	56.3428	39.2491	49.1528
